ae,domain,position_in_block,n,sum_obs_rr,sum_rec_rr,sum_err_rr,sum_abs_rr,sum_err_norm,sum_abs_norm,obs_mean_rr,rec_mean_rr,bias_rr,mae_rr,bias_norm,mae_norm
full,belgium,0,223854179,24244789.310731888,22352168.144162796,-1892621.1665690914,7287708.2966692895,-2485805.94370434,4228341.412212288,0.10830617243349247,0.09985146689695168,-0.008454705536540782,0.03255560530174105,-0.011104576893801657,0.01888882053085231
full,belgium,1,223854138,24188872.858487368,31844867.058714483,7655994.200227115,13437257.641243596,4772708.095247465,5864310.101683285,0.1080564025959054,0.14225721866581928,0.03420081606991386,0.06002684498619184,0.02132061590591399,0.026197014511669583
full,belgium,2,223854219,24207213.34798318,22141781.240405593,-2065432.1075775884,7360213.094825048,-3893250.5444812886,5576747.588581873,0.10813829400277321,0.09891161015109388,-0.00922668385167933,0.032879492411197524,-0.017391901577165667,0.02491240778706017
full,belgium,3,223854192,24198658.573328733,32446282.789600924,8247624.21627219,13804415.805518925,6530519.1698297635,7547666.304512377,0.10810009121173274,0.14494382481611479,0.03684373360438204,0.06166699708495486,0.029173093036514428,0.03371688614396096
full,radclim_valid,0,2369618811,190947704.4568429,182469637.08548656,-8478067.371356346,60348562.45837305,-25491560.63502447,41492469.67929281,0.0805816123548839,0.07700379328457592,-0.0035778190703079906,0.025467624656855852,-0.010757663011742722,0.017510187497955684
full,radclim_valid,1,2369281314,190729106.23649865,277591305.6067811,86862199.3702825,128960181.46250471,51215343.30645587,59234887.739848986,0.08050082744901885,0.11716266192895873,0.0366618344799399,0.054430084220258496,0.02161640452057179,0.0250012049602688
full,radclim_valid,2,2369445883,191203272.02844125,181423124.03849804,-9780147.989943217,60880617.82835065,-40583544.7194884,56156357.2370944,0.08069535303602511,0.07656774326020682,-0.004127609775818298,0.02569403178403406,-0.017127863105320138,0.023700206719215626
full,radclim_valid,3,2369716245,191364060.40889186,283948473.3504558,92584412.94156398,132913179.44155768,70157444.96264447,77629656.1267944,0.08075399778883309,0.11982382867551124,0.039069830886678154,0.05608822563545268,0.029605842096358026,0.03275905133814635
