ae,checkpoint,month,t_start,lead_index,lead_min,position_in_block,latent_block,domain,n,sum_obs_rr,sum_rec_rr,sum_err_rr,sum_abs_rr,sum_err_norm,sum_abs_norm
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,10,55,2,2,belgium,30665,586.1083731651306,968.3037421703339,382.19536900520325,809.7927028462291,33.61841053864919,163.03759056865238
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,10,55,2,2,radclim_valid,327272,4299.564181804657,9827.431059565395,5527.866877760738,7592.325944777578,599.9968049814488,1451.0010450774134
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,11,60,3,2,belgium,30665,500.79120445251465,443.6118436604738,-57.179360792040825,223.41636449843645,-32.25268284138292,91.90239098574966
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,11,60,3,2,radclim_valid,327261,4285.680915892124,3868.1823173873127,-417.4985985048115,1345.6915850900114,-176.08996225957526,666.707503427926
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,12,65,0,3,belgium,30665,374.6250499486923,718.008856266737,343.38380631804466,582.0330431833863,31.183640046510845,136.42565165786073
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,12,65,0,3,radclim_valid,327261,4206.4789697527885,8211.866856992245,4005.387887239456,5805.048050485551,435.3739799572504,1230.983257036307
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,13,70,1,3,belgium,30665,322.53475230932236,231.79462579265237,-90.74012651666999,154.93562784418464,-51.06570664187893,96.50831541558728
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,13,70,1,3,radclim_valid,327261,4187.050814986229,3534.6145554818213,-652.4362595044076,1337.1461070589721,-377.33896135479154,774.622510609086
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,14,75,2,3,belgium,30665,273.44992995262146,739.5170822143555,466.067152261734,668.775193542242,41.95161627419293,143.64535452239215
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,14,75,2,3,radclim_valid,327261,4207.926021814346,9812.263433713466,5604.33741189912,7506.369838435203,611.0412070531165,1390.5847167075844
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,15,80,3,3,belgium,30665,291.3198388814926,228.39163089171052,-62.928207989782095,142.0077640376985,-27.364613679179456,85.07406671060016
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,15,80,3,3,radclim_valid,327261,4235.492965519428,3774.4838327765465,-461.0091327428818,1286.0358956679702,-166.9802241983707,617.9744151115301
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,16,85,0,4,belgium,30665,293.1882811188698,685.2975370176136,392.10925589874387,633.2455643825233,41.02615921571851,154.73402730748057
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,16,85,0,4,radclim_valid,327261,4343.848556399345,8893.207414641976,4549.358858242631,6466.935362637043,536.3089331364317,1276.8173341340444
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,17,90,1,4,belgium,30665,316.5685353279114,235.09254740551114,-81.47598792240024,166.3735836185515,-53.342426566639915,102.95743983075954
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,17,90,1,4,radclim_valid,327288,4420.598138213158,3764.9926840253174,-655.6054541878402,1374.5501464791596,-371.8768591036787,756.3358756833477
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,18,95,2,4,belgium,30665,385.38781571388245,794.1249933615327,408.73717764765024,680.7014777362347,43.130941396346316,150.68243080400862
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,18,95,2,4,radclim_valid,327371,4466.696617007256,9280.164042565972,4813.467425558716,6546.1986324600875,593.4214321753243,1248.1930325137218
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,19,100,3,4,belgium,30665,424.84528571367264,376.3083148561418,-48.53697085753083,171.77767493203282,-47.86001590755768,107.28004503366537
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,19,100,3,4,radclim_valid,327255,4146.011877536774,3711.537468519062,-434.4744090177119,1207.5557656250894,-424.5950648959406,807.7148769265477
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420840,0,5,0,0,belgium,30665,224.51995533704758,699.2089146487415,474.6889593116939,564.4111462198198,47.347925089430646,124.23467919962422
