ae,domain,lead_index,lead_min,position_in_block,latent_block,n,sum_obs_rr,sum_rec_rr,sum_err_rr,sum_abs_rr,sum_err_norm,sum_abs_norm,obs_mean_rr,rec_mean_rr,bias_rr,mae_rr,bias_norm,mae_norm
10pct,belgium,10,55,2,2,44770814,4821260.081445217,4791397.517458964,-29862.563986252993,1614800.7001432367,-7707.776018103192,329297.4307279395,0.10768756809838698,0.10702055847050188,-0.0006670096278850993,0.0360681559228125,-0.0001721607299367662,0.0073551807820143615
10pct,belgium,11,60,3,2,44770830,4801387.8214457035,4218872.024258073,-582515.7971876301,1079245.1455280297,-101694.18413451468,286237.5844657848,0.10724366337290829,0.09423260690628414,-0.01301105646662414,0.024105989223966357,-0.0022714384373600997,0.006393394638111127
10pct,belgium,12,65,0,3,44770816,4818534.066891789,4722585.669666126,-95948.39722566307,1605833.2678170279,-18867.06912711289,330657.24056163465,0.10762667508431809,0.10548357371163676,-0.002143101372681326,0.03586785793265479,-0.00042141445729094795,0.007385553137151547
10pct,belgium,13,70,1,3,44770813,4824824.308394074,4197031.949303392,-627792.3590906821,1097925.4161122777,-113150.30793008118,292052.9434940379,0.10776718100683305,0.09374482320219185,-0.014022357804641209,0.0245232405342355,-0.002527323055984737,0.0065232888108160535
10pct,belgium,14,75,2,3,44770853,4810657.175751686,4781840.51616862,-28816.65958306566,1613747.345944073,-6012.169688151,325073.75604180736,0.10745064820971104,0.10680700044219886,-0.0006436477675121726,0.03604459682606612,-0.00013428758411529484,0.007260834544336409
10pct,belgium,15,80,3,3,44770852,4805796.2157924175,4220027.0172991045,-585769.198493313,1087525.2752967738,-101069.54220088606,285960.48323876335,0.1073420763981087,0.09425835848062718,-0.013083717917481513,0.02429092203330805,-0.0022574853433856043,0.006387202174279894
10pct,belgium,16,85,0,4,44770880,4779301.746061087,4712626.898141306,-66674.84791978076,1599039.2397041433,-11251.151918744494,328165.20770299505,0.10675023019563357,0.10526098433046896,-0.0014892458651646061,0.03571605560811276,-0.00025130513223650046,0.007329880665803197
10pct,belgium,17,90,1,4,44770875,4752414.905906498,4175451.876320321,-576963.0295861773,1069960.5365956314,-102831.14371926757,287066.0730894739,0.10614969901540898,0.09326268196277873,-0.01288701705263025,0.023898584439004854,-0.0022968312260876647,0.006411893292000075
10pct,belgium,18,95,2,4,44770875,4770223.430993974,4965943.669212915,195720.2382189408,1601251.367884703,44226.040226954385,322156.56448070705,0.10654746933121084,0.11091906667477272,0.004371597343561876,0.0357654695800496,0.0009878305980607792,0.007195672733238004
10pct,belgium,19,100,3,4,44770855,4809552.011937916,4346585.458308954,-462966.5536289625,1047232.8262187354,-85878.96392038361,290453.046655987,0.10742595851559941,0.09708515636587584,-0.010340802149723575,0.02339094989851624,-0.0019181890522390875,0.006487547460417876
10pct,radclim_valid,0,5,0,0,473552796,38017431.17491704,42123088.71566869,4105657.540751647,14592612.508662347,704770.2270923019,2771802.5598647865,0.08028129386214634,0.08895119841224355,0.008669904550097191,0.030815175481853446,0.0014882611464769008,0.005853207041068313
10pct,radclim_valid,1,10,1,0,473669320,38072376.20359129,34570856.44361226,-3501519.759979021,7955545.679105099,-716061.7884122988,2265572.007251851,0.08037754314252671,0.07298521348947039,-0.007392329653056315,0.01679556885614863,-0.0015117335199423489,0.004783024594567051
10pct,radclim_valid,2,15,2,0,473763054,38053270.03952813,40512609.6010067,2459339.561478574,14246070.142837394,357239.6092471194,2706880.0819243477,0.08032131192637941,0.08551238696001547,0.0051910750336360625,0.030070031891590673,0.0007540469992983442,0.005713573608304939
10pct,radclim_valid,3,20,3,0,473800563,38183089.42052406,33952868.69607943,-4230220.724444624,8270644.977175724,-792717.8216107332,2232073.2740365653,0.08058894902690114,0.0716606761315297,-0.00892827289537143,0.01745596274687357,-0.0016731044315173875,0.004710997513180594
10pct,radclim_valid,4,25,0,1,473706375,38358715.23761487,39382344.688378796,1023629.4507639222,14183156.78301328,101528.72653946772,2749649.3821451226,0.08097572095713272,0.08313661535245076,0.0021608943953180327,0.029940818894432824,0.00021432839391166675,0.0058045437580296925
10pct,radclim_valid,5,30,1,1,473935132,38194572.467327654,33389263.871243834,-4805308.59608382,8371609.100254744,-966869.9116616781,2305251.729692215,0.08059029577770921,0.07045112636056665,-0.010139169417142555,0.01766403993923528,-0.0020400891311464922,0.004864065932323023
10pct,radclim_valid,6,35,2,1,473916075,38531502.46688104,40176261.78814423,1644759.3212631904,14266331.951338258,200671.45771087773,2709716.5622448083,0.08130448511771,0.08477505598041643,0.00347057086270642,0.030103076692087852,0.00042343247738722037,0.005717713969176522
10pct,radclim_valid,7,40,3,1,473850521,38542221.002034426,34089965.47977814,-4452255.522256289,8393963.041276839,-859256.1741303472,2272365.535720562,0.08133835311755291,0.07194244591698601,-0.009395907200566924,0.017714369129662386,-0.0018133485900089306,0.004795532420065783
10pct,radclim_valid,8,45,0,2,474196747,38294045.14143026,39340923.37939337,1046878.2379631102,14106068.426627547,110245.91627663269,2724004.4145489447,0.0807556048912125,0.08296329240612309,0.0022076875149105784,0.029747290583221876,0.0002324898198355475,0.005744460356976984
10pct,radclim_valid,9,50,1,2,473790580,38161875.90205729,33367223.661288913,-4794652.240768377,8363344.956506651,-967299.3492816426,2308743.5613204585,0.08054587303541849,0.07042610188933877,-0.010119771146079723,0.0176519865728581,-0.0020416179428507054,0.004872919932938427
10pct,radclim_valid,10,55,2,2,473950307,38263184.514329135,39933593.10182148,1670408.587492343,14220354.604958553,198237.20600474958,2716609.9427694003,0.08073248175853409,0.08425692000199819,0.0035244382434640835,0.030003893646509554,0.0004182658035597592,0.005731845517655505
10pct,radclim_valid,11,60,3,2,473820642,38158486.429958284,33748992.60837793,-4409493.821580354,8251072.955633398,-854279.4301249682,2250016.4090195755,0.08053360923426861,0.07122735823817894,-0.009306250996089685,0.01741391620425308,-0.00180295950492796,0.004748666920719708
10pct,radclim_valid,12,65,0,3,473981576,38111616.53314,39187775.55553824,1076159.0223982371,14046998.701395739,110001.13762654133,2728162.153114217,0.08040737965971066,0.08267784559528583,0.0022704659355751774,0.029636170291555256,0.0002320789313265234,0.005755840081670636
10pct,radclim_valid,13,70,1,3,473731145,38344630.956489325,33513256.717277847,-4831374.239211477,8396274.22131905,-969591.8892531857,2315828.926489229,0.08094175643969814,0.07074319911408368,-0.010198557325614463,0.017723711666284996,-0.002046713414321082,0.004888487807761148
10pct,radclim_valid,14,75,2,3,473773542,38287985.07643622,39998940.844986536,1710955.768550314,14171713.04414156,205387.90859770688,2698494.197701959,0.08081494993326627,0.08442628660970379,0.0036113366764375246,0.029912419727612313,0.00043351493992399196,0.005695746930718134
10pct,radclim_valid,15,80,3,3,474058397,38371885.45795745,33949376.63432637,-4422508.823631078,8334165.939605854,-856796.3042716138,2265433.114204607,0.08094337259035504,0.07161433454015238,-0.00932903805020266,0.017580462644153638,-0.001807364471748011,0.004778806004789758
10pct,radclim_valid,16,85,0,4,474181317,38165896.369740725,39459877.83681044,1293981.4670697115,14013036.516901057,158499.99496805403,2725660.0662984154,0.08048798002250418,0.08321685486568936,0.002728874843185168,0.029552063766571927,0.0003342603120064598,0.0057481388839670695
10pct,radclim_valid,17,90,1,4,474155137,37955650.7070331,33534709.808317382,-4420940.898715716,8178397.95547216,-900930.6749945241,2298669.693166103,0.08004901296056843,0.07072518505334127,-0.009323827907227156,0.017248358854060376,-0.0019000757446070316,0.004847927426685463
10pct,radclim_valid,18,95,2,4,474042905,38067329.931266725,41634389.049391344,3567059.1181246154,14066274.851396251,604577.0906961474,2685032.1378031503,0.08030355381284891,0.08782831387254145,0.007524760059692519,0.029672999433239595,0.0012753636523600061,0.005664112065559024
10pct,radclim_valid,19,100,3,4,474186122,38108378.09841764,34765841.36581391,-3342536.7326037325,7858141.630418289,-768126.621121678,2337663.9236123236,0.0803658654911407,0.07331686810904582,-0.0070489973820948995,0.016571850726618882,-0.0016198842300190262,0.0049298446646912275
