ae,domain,position_in_block,n,sum_obs_rr,sum_rec_rr,sum_err_rr,sum_abs_rr,sum_err_norm,sum_abs_norm,obs_mean_rr,rec_mean_rr,bias_rr,mae_rr,bias_norm,mae_norm
10pct,belgium,0,223854179,24244789.310731888,24108568.43516402,-136220.87556786835,8094924.273291454,-18290.072503778574,1657532.5852781532,0.10830617243349247,0.10769764738304939,-0.000608525050443076,0.036161595505846925,-8.170529844689017e-05,0.007404519284306741
10pct,belgium,1,223854138,24188872.858487368,21237977.5531699,-2950895.305317469,5426882.253580026,-527295.408918184,1450890.4396392987,0.1080564025959054,0.09487417897617732,-0.01318222361972808,0.024242939183818108,-0.002355531211659728,0.00648140996008436
10pct,belgium,2,223854219,24207213.34798318,24353646.719974276,146433.3719910942,8075402.831372019,31863.297819126296,1632480.1800546008,0.10813829400277321,0.10879244013700844,0.0006541461342352194,0.03607438299553344,0.00014233950095497773,0.007292604031977619
10pct,belgium,3,223854192,24198658.573328733,21405756.62326168,-2792901.9500670545,5394885.020278294,-486971.445038401,1437449.0783630677,0.10810009121173274,0.09562365766758425,-0.01247643354414848,0.02409999550188586,-0.002175395692560455,0.006421363234346166
10pct,radclim_valid,0,2369618811,190947704.4568429,199494010.17578954,8546305.718946628,70941872.93659997,1185046.0025029976,13699278.575971486,0.0805816123548839,0.08418822860863487,0.0036066162537509616,0.029938094940536817,0.0005000998460182285,0.005781216165392555
10pct,radclim_valid,1,2369281314,190729106.23649865,168375310.50174025,-22353795.73475841,41265171.91265771,-4520753.613603329,11494065.917919856,0.08050082744901885,0.071065985076072,-0.009434842372946858,0.017416746449154544,-0.0019080695850215653,0.004851287962303937
10pct,radclim_valid,2,2369445883,191203272.02844125,202255794.3853503,11052522.356909037,70970744.59467202,1566113.2722566011,13516732.922443666,0.08069535303602511,0.08535995518465711,0.004664602148631996,0.029952464879600724,0.0006609618238141466,0.005704596597635678
10pct,radclim_valid,3,2369716245,191364060.40889186,170507044.7843758,-20857015.624516077,41107988.544110104,-4131176.3512593405,11357552.256593633,0.08075399778883309,0.0719525154727442,-0.008801482316088894,0.017347219790912183,-0.001743321108582492,0.004792789972452433
