ae,checkpoint,month,t_start,lead_index,lead_min,position_in_block,latent_block,domain,n,sum_obs_rr,sum_rec_rr,sum_err_rr,sum_abs_rr,sum_err_norm,sum_abs_norm
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,10,55,2,2,belgium,30665,586.1083731651306,389.80505231395364,-196.30332085117698,277.29277895763516,-734.1892066488508,786.1113232874777
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,10,55,2,2,radclim_valid,327272,4299.564181804657,3389.186227981001,-910.3779538236558,1480.2321671880782,-7635.702657909176,8067.888466477001
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,11,60,3,2,belgium,30665,500.79120445251465,1716.1244885511696,1215.333284098655,1484.7539907209575,1000.3774441117421,1087.3750134212896
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,11,60,3,2,radclim_valid,327261,4285.680915892124,17860.834437593818,13575.153521701694,14882.99763686955,10907.335818990425,11453.90192362218
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,12,65,0,3,belgium,30665,374.6250499486923,277.46385256946087,-97.16119737923145,162.81576915085316,-478.60151620348915,527.4309207065962
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,12,65,0,3,radclim_valid,327261,4206.4789697527885,3458.5265288613737,-747.9524408914149,1371.9648760445416,-4956.9770942615,5389.960116276867
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,13,70,1,3,belgium,30665,322.53475230932236,1490.290389109403,1167.7556368000805,1360.1642414592206,670.2194496081211,752.9217702089809
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,13,70,1,3,radclim_valid,327261,4187.050814986229,16920.7858787477,12733.735063761473,14209.608983695507,7287.6490757545835,7860.068024624939
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,14,75,2,3,belgium,30665,273.44992995262146,174.9292261004448,-98.52070385217667,137.84383442252874,-730.8188915383071,769.7285250406712
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,14,75,2,3,radclim_valid,327261,4207.926021814346,3336.109685819596,-871.8163359947503,1395.6202638112009,-7635.8462441187585,8006.760119791725
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,15,80,3,3,belgium,30665,291.3198388814926,1529.0314592309296,1237.711620349437,1396.0740193761885,1001.2938335864455,1076.626302611956
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,15,80,3,3,radclim_valid,327261,4235.492965519428,17899.881667874753,13664.388702355325,14851.671010419726,10867.023437911004,11355.112463785976
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,16,85,0,4,belgium,30665,293.1882811188698,187.68415785580873,-105.50412326306105,161.0739380866289,-487.3053837530315,546.4078966490924
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,16,85,0,4,radclim_valid,327261,4343.848556399345,3531.0454112924635,-812.8031451068819,1397.2686019800603,-5079.441555144818,5470.83418599554
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,17,90,1,4,belgium,30665,316.5685353279114,1458.0043709091842,1141.4358355812728,1362.5034857578576,651.9568898396101,750.4281427620444
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,17,90,1,4,radclim_valid,327288,4420.598138213158,17137.551709219813,12716.953571006656,14223.158455193043,7084.863619411946,7674.645055878558
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,18,95,2,4,belgium,30665,385.38781571388245,1439.343872409314,1053.9560566954315,1323.9802684523165,287.1952724510338,397.2787177080754
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,18,95,2,4,radclim_valid,327371,4466.696617007256,16371.730836961418,11905.034219954163,13497.064024921507,3279.901839890168,3922.9859523995547
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,19,100,3,4,belgium,30665,424.84528571367264,1616.788405571133,1191.9431198574603,1355.843289528042,633.3028258893173,715.3170911476482
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,19,100,3,4,radclim_valid,327255,4146.011877536774,17076.179868385196,12930.167990848422,14076.14826965332,7006.738187057184,7475.8941586713045
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,0,5,0,0,belgium,30665,224.51995533704758,1341.1516551822424,1116.6316998451948,1196.1722846478224,283.96608915193065,351.7976487054111
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,0,5,0,0,radclim_valid,327252,4642.27678668499,16514.261541571468,11871.984754886478,13339.583582457155,3032.5620049486315,3707.2354145905556
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,1,10,1,0,belgium,30665,171.05965793132782,1375.8364147916436,1204.7767568603158,1257.8075093403459,690.8709629923105,740.7817440330982
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,1,10,1,0,radclim_valid,327277,4377.558468937874,17262.98856596276,12885.430097024888,14032.31291597709,7453.190333477221,7962.24460125831
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,2,15,2,0,belgium,30665,150.37673610448837,121.29640116542578,-29.080334939062595,48.800002835690975,-720.746942922473,749.9321353882551
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,2,15,2,0,radclim_valid,327259,4215.301496088505,3388.2462134957314,-827.0552825927734,1249.0651777386665,-7743.853937610867,8097.463553967769
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,3,20,3,0,belgium,30665,131.15943986177444,1400.1133248507977,1268.9538849890232,1299.3436946570873,1004.2187404334545,1037.3471377193928
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,3,20,3,0,radclim_valid,327259,4038.453767180443,17588.58567428589,13550.131907105446,14556.453417308629,10675.373333964963,11110.922742037568
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,4,25,0,1,belgium,30665,123.88028144836426,97.10594434663653,-26.774337101727724,47.595472034066916,-472.49357917904854,503.7871477305889
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,4,25,0,1,radclim_valid,327258,3996.9481115341187,3326.752783611417,-670.1953279227018,1160.9519804939628,-5047.060969914353,5423.280625685977
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,5,30,1,1,belgium,30665,111.3593658208847,1311.1971384882927,1199.837772667408,1238.1506077051163,660.2331332415342,702.0836262851954
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,5,30,1,1,radclim_valid,327258,3771.745713531971,16620.96560274437,12849.2198892124,13811.23336486891,7006.925527917454,7462.291526378831
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,6,35,2,1,belgium,30665,102.66406840085983,79.92565619945526,-22.73841220140457,38.01469071209431,-719.7388112768531,747.1767832860351
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,6,35,2,1,radclim_valid,327254,3648.8957489728928,2907.1422288753092,-741.7535200975835,1114.438232216984,-7755.597358724568,8083.352926237043
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,7,40,3,1,belgium,30665,109.4368947148323,1368.037976499647,1258.6010817848146,1303.9222123362124,1006.2566985525191,1038.014708276838
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,7,40,3,1,radclim_valid,327267,3576.1435908079147,17139.0123578012,13562.868766993284,14470.549368545413,10665.488418083129,11127.717706836396
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,8,45,0,2,belgium,30665,97.4664568901062,79.67976197227836,-17.786694917827845,33.115339148789644,-468.41622595489025,490.7734666913748
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,8,45,0,2,radclim_valid,327260,3418.4946457743645,2827.1114532724023,-591.3831925019622,998.4724479988217,-5046.678009828713,5356.196740671221
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,9,50,1,2,belgium,30665,97.21182072162628,1302.337027411908,1205.1252066902816,1229.3357603885233,662.6121925115585,693.008664727211
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,9,50,1,2,radclim_valid,327260,3298.576705813408,16144.898921519518,12846.32221570611,13708.888264484704,7004.309374105287,7456.266654133375
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,10,55,2,2,belgium,30665,102.55263620615005,82.56120662763715,-19.991429578512907,35.704295355826616,-719.55862698704,740.108931787312
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,10,55,2,2,radclim_valid,327261,3360.716923415661,2716.4215391762555,-644.2953842394054,1007.3130965791643,-7735.390858381055,8049.204374658875
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,11,60,3,2,belgium,30665,115.07378453016281,1386.1625142619014,1271.0887297317386,1295.9764104187489,1004.0957823470235,1031.1633389666677
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,11,60,3,2,radclim_valid,327261,3410.7069200873375,17040.582057975233,13629.875137887895,14412.959599517286,10682.646154786707,11082.915717436015
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,12,65,0,3,belgium,30665,121.79417777061462,96.14585358276963,-25.64832418784499,47.70136420056224,-471.90645583719015,503.3247541114688
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,12,65,0,3,radclim_valid,327253,3614.17696416378,3025.5957258194685,-588.5812383443117,1057.8389584049582,-5046.283636436565,5436.892393335234
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420840,13,70,1,3,belgium,30665,134.31446415185928,1331.1483144238591,1196.8338502719998,1242.014171205461,661.8297934234142,707.221848487854
